"","author","title","words","kind","total","appearance"
"103","Eliot, George","Middlemarch","Greece","location",1,2
"104","Eliot, George","Middlemarch","Guinea","location",3.5,8
"105","Eliot, George","Middlemarch","Guy Faux","person",1,1
"106","Eliot, George","Middlemarch","Hades","location",3.33333333333333,3
"107","Eliot, George","Middlemarch","Hanover","location",2,1
"108","Eliot, George","Middlemarch","Harriet Bulstrode","person",1.04166666666667,24
"109","Eliot, George","Middlemarch","Harry","person",-2,2
"110","Eliot, George","Middlemarch","Harry Toller","person",-3,1
"111","Eliot, George","Middlemarch","Hawley","person",0.0338983050847458,59
"112","Eliot, George","Middlemarch","Henrietta Noble","person",5.4,5
"113","Eliot, George","Middlemarch","Henry","person",7,3
"114","Eliot, George","Middlemarch","Hicks","person",-0.5,4
"115","Eliot, George","Middlemarch","Hill","location",1.625,40
"116","Eliot, George","Middlemarch","Hiram","person",0.714285714285714,7
"117","Eliot, George","Middlemarch","Hiram Ford","person",6.33333333333333,3
"118","Eliot, George","Middlemarch","Hopkins","person",5,2
"119","Eliot, George","Middlemarch","Howe","person",2.22222222222222,144
"120","Eliot, George","Middlemarch","Humphry Davy","person",9.5,2
"121","Eliot, George","Middlemarch","India","location",-2,2
"122","Eliot, George","Middlemarch","Israel","location",4,1
"123","Eliot, George","Middlemarch","Italy","location",4.5,2
"124","Eliot, George","Middlemarch","Jack","person",0.8,5
"125","Eliot, George","Middlemarch","Jacob","person",-3,1
"126","Eliot, George","Middlemarch","Jane","person",4.35714285714286,14
"127","Eliot, George","Middlemarch","Jane Featherstone","person",15.5,2
"128","Eliot, George","Middlemarch","Jeremy Taylor","person",3,1
"129","Eliot, George","Middlemarch","Jerusalem","location",-2,2
"130","Eliot, George","Middlemarch","Jim","person",-0.8,5
"131","Eliot, George","Middlemarch","John Bull","person",-1,1
"132","Eliot, George","Middlemarch","John Long","person",-0.5,2
"133","Eliot, George","Middlemarch","John Milton","person",2.5,2
"134","Eliot, George","Middlemarch","John Raffles","person",0.333333333333333,3
"135","Eliot, George","Middlemarch","John Waule","person",-4,2
"136","Eliot, George","Middlemarch","Johnson","person",1.75,4
"137","Eliot, George","Middlemarch","Joseph","person",5.5,2
"138","Eliot, George","Middlemarch","Josephus","person",10,1
"139","Eliot, George","Middlemarch","Josh","person",1.44444444444444,18
"140","Eliot, George","Middlemarch","Joshua Rigg","person",2.8,10
"141","Eliot, George","Middlemarch","Jove","person",0.857142857142857,7
"142","Eliot, George","Middlemarch","Joy","person",4.12037037037037,108
"143","Eliot, George","Middlemarch","Julia","person",4.16666666666667,6
"144","Eliot, George","Middlemarch","Jupiter","location",1,1
"145","Eliot, George","Middlemarch","Kate","location",-2,2
"146","Eliot, George","Middlemarch","Kate","person",-2,2
"147","Eliot, George","Middlemarch","King James","person",-4,1
"148","Eliot, George","Middlemarch","Kitty","person",0.222222222222222,9
"149","Eliot, George","Middlemarch","Ladies","person",6.13636363636364,44
"150","Eliot, George","Middlemarch","Lafitte","person",1,1
"151","Eliot, George","Middlemarch","Lane","person",2.21052631578947,19
"152","Eliot, George","Middlemarch","Latin","location",2.15,20
"153","Eliot, George","Middlemarch","Latin","person",2.15,20
"154","Eliot, George","Middlemarch","Laura","person",4,1
"155","Eliot, George","Middlemarch","Lausanne","location",2.6,5
"156","Eliot, George","Middlemarch","Leeds","location",6,1
"157","Eliot, George","Middlemarch","Leo","person",5.57142857142857,7
"158","Eliot, George","Middlemarch","Leonard Lamb","person",8,1
"159","Eliot, George","Middlemarch","Letty","location",1.2,30
"160","Eliot, George","Middlemarch","Lindley Murray","person",0,2
"161","Eliot, George","Middlemarch","Lisa","person",2,1
"162","Eliot, George","Middlemarch","Liverpool","location",5,1
"163","Eliot, George","Middlemarch","Loamford","location",8,1
"164","Eliot, George","Middlemarch","London","location",4,32
"165","Eliot, George","Middlemarch","Lord","person",2.13725490196078,51
"166","Eliot, George","Middlemarch","Lord Chancellors","person",4,1
"167","Eliot, George","Middlemarch","Lord Grey","person",8,1
"168","Eliot, George","Middlemarch","Lord Grinsell","person",1,2
"169","Eliot, George","Middlemarch","Lord John Russell","person",0,1
"170","Eliot, George","Middlemarch","Lord Medlicote","person",2.2,5
"171","Eliot, George","Middlemarch","Lord Megatherium","person",0,1
"172","Eliot, George","Middlemarch","Lord Plessy","person",-2,1
"173","Eliot, George","Middlemarch","Lord Tapir","person",0,1
"174","Eliot, George","Middlemarch","Lord Triton","person",2,3
"175","Eliot, George","Middlemarch","Lords","location",5.14285714285714,14
"176","Eliot, George","Middlemarch","Louisa","person",4.5,6
"177","Eliot, George","Middlemarch","Lowick","location",2.7109375,128
"178","Eliot, George","Middlemarch","Lowick Gate","location",1.54545454545455,11
"179","Eliot, George","Middlemarch","Lucy","person",-0.4,5
"180","Eliot, George","Middlemarch","Mab","person",5.5,6
"181","Eliot, George","Middlemarch","Madonna","person",-0.333333333333333,3
"182","Eliot, George","Middlemarch","Mammon","person",1,1
"183","Eliot, George","Middlemarch","Manchester","location",6,1
"184","Eliot, George","Middlemarch","Mangnall","location",0,1
"185","Eliot, George","Middlemarch","Maria","person",0,1
"186","Eliot, George","Middlemarch","Mark","person",2.90123456790123,162
"187","Eliot, George","Middlemarch","Marlowe","person",1,1
"188","Eliot, George","Middlemarch","Martha","person",1.35294117647059,17
"189","Eliot, George","Middlemarch","Martin","person",-0.857142857142857,7
"190","Eliot, George","Middlemarch","Marty","person",-1.83333333333333,6
"191","Eliot, George","Middlemarch","Mary Garth","person",1.54938271604938,324
"192","Eliot, George","Middlemarch","Merry","person",4.23076923076923,13
"193","Eliot, George","Middlemarch","Michaelmas","location",14,2
"194","Eliot, George","Middlemarch","Middlemarch","location",3.39662447257384,237
"195","Eliot, George","Middlemarch","Mill","location",2.125,8
"196","Eliot, George","Middlemarch","Mill A","person",0,1
"197","Eliot, George","Middlemarch","Milton","person",4.6,5
"198","Eliot, George","Middlemarch","Miss Brooke","person",3.47058823529412,51
"199","Eliot, George","Middlemarch","Miss Garth","person",4.38888888888889,18
"200","Eliot, George","Middlemarch","Monsieur","person",-3.66666666666667,3
"201","Eliot, George","Middlemarch","Monsieur Liret","person",-3.66666666666667,3
"202","Eliot, George","Middlemarch","Morgan","person",0.2,5
"203","Eliot, George","Middlemarch","Moses","person",4,1
"204","Eliot, George","Middlemarch","Mr Baldwin","person",0,2
"205","Eliot, George","Middlemarch","Mr Bambridge","person",1.54545454545455,22
"206","Eliot, George","Middlemarch","Mr Bulstrode","person",2.11333333333333,150
"207","Eliot, George","Middlemarch","Mr Cadwallader","person",3.75,16
"208","Eliot, George","Middlemarch","Mr Casaubon","person",1.89847715736041,394
"209","Eliot, George","Middlemarch","Mr Chichely","person",3.46153846153846,13
"210","Eliot, George","Middlemarch","Mr Clintup","person",1,2
"211","Eliot, George","Middlemarch","Mr Crabbe","person",-2,2
"212","Eliot, George","Middlemarch","Mr Dill","person",1.66666666666667,3
"213","Eliot, George","Middlemarch","Mr Featherstone","person",1.83333333333333,48
"214","Eliot, George","Middlemarch","Mr Fred","person",4,1
"215","Eliot, George","Middlemarch","Mr Garth","person",1.41071428571429,56
"216","Eliot, George","Middlemarch","Mr Hackbutt","person",3.33333333333333,9
"217","Eliot, George","Middlemarch","Mr Hawley","person",-0.105263157894737,38
"218","Eliot, George","Middlemarch","Mr Horrock","person",1,7
"219","Eliot, George","Middlemarch","Mr Jonah","person",5.5,4
"220","Eliot, George","Middlemarch","Mr Larcher","person",3,4
"221","Eliot, George","Middlemarch","Mr Limp","person",1.33333333333333,3
"222","Eliot, George","Middlemarch","Mr Mawmsey","person",2.61538461538462,13
"223","Eliot, George","Middlemarch","Mr Ned Plymdale","person",4.35714285714286,14
"224","Eliot, George","Middlemarch","Mr Powderell","person",5.57142857142857,7
"225","Eliot, George","Middlemarch","Mr Rigg","person",-0.111111111111111,9
"226","Eliot, George","Middlemarch","Mr Solomon","person",3.88888888888889,9
"227","Eliot, George","Middlemarch","Mr Standish","person",5.41176470588235,17
