"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"14020","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9281,"Ellinor","person",0,3,0,0,3,0,6,0,0,0,6
"14021","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9281,"Ellinor","location",0,3,0,0,3,0,6,0,0,0,6
"14022","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9281,"Sacred","location",0,3,0,0,3,0,6,0,0,0,6
"14023","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"John","person",0,7,0,0,7,0,14,0,0,21,14
"14024","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Johnson","person",0,7,0,0,7,0,14,0,0,21,14
"14025","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Ellinor","person",0,7,0,0,7,0,14,0,0,21,14
"14026","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Mr Ness","person",0,7,0,0,7,0,14,0,0,21,14
"14027","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Wilkins","person",0,7,0,0,7,0,14,0,0,21,14
"14028","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Ellinor","location",0,7,0,0,7,0,14,0,0,21,14
"14029","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9282,"Mr Johnson","person",0,7,0,0,7,0,14,0,0,21,14
"14030","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9283,NA,NA,0,2,0,0,2,0,2,0,1,1,2
"14031","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"John","person",0,7,0,0,7,0,21,0,0,35,21
"14032","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Frank","person",0,7,0,0,7,0,21,0,0,35,21
"14033","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Johnson","person",0,7,0,0,7,0,21,0,0,35,21
"14034","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Frank Holster","person",0,7,0,0,7,0,21,0,0,35,21
"14035","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Holster","location",0,7,0,0,7,0,21,0,0,35,21
"14036","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Mr Johnson","person",0,7,0,0,7,0,21,0,0,35,21
"14037","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9284,"Ford Bank","location",0,7,0,0,7,0,21,0,0,35,21
